grade,subject,strand,subStrand,learningOutcome,specificLearningOutcome,keyInquiryQuestion,suggestedLearningExperience,lessonTitle,lessonOrder,term,week,activityTitle,activityInstructions,assessmentMethod,assessmentCriteria,questTitle,questInstructions,reflectionPrompt,learningResources,coreCompetencies
"Grade 2","English Language Activities","1.0 Listening","1.1 Listen to Instructions and Questions","Listen attentively to simple sequenced instructions","Listen attentively to simple sequenced instructions","Who gives us instructions?","Learners attentively listen to a series of instructions and interpret effectively using non-verbal cues. Learners participate in varied activities and games that require them to respond to instructions e.g. Simon says.","Following Simple Instructions","01","Term 1","","Following Simple Instructions","Learners attentively listen to a series of instructions and interpret effectively using non-verbal cues. Learners participate in varied activities and games that require them to respond to instructions e.g. Simon says.","question/answer","Learner demonstrates understanding of listen attentively to simple sequenced instructions","English Language Activities Grade 2","In this quest, we explore 1.1 listen to instructions and questions.","What did I learn about listen attentively to simple sequenced instructions today?","Audio recordings, manila charts, sentence strips","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","1.0 Listening","1.1 Listen to Instructions and Questions","Use appropriate non-verbal communication cues to indicate understanding of questions and instructions","Use appropriate non-verbal communication cues to indicate understanding of questions and instructions","Who asks us questions?","Learners listen to questions and take turns in responding to them using prompts. Learners model/role play talking and listening to different audiences e.g. school members, family and community members.","Responding to Questions","02","Term 1","","Responding to Questions","Learners listen to questions and take turns in responding to them using prompts. Learners model/role play talking and listening to different audiences e.g. school members, family and community members.","question/answer","Learner demonstrates understanding of use appropriate non-verbal communication cues to indicate understanding of questions and instructions","English Language Activities Grade 2","In this quest, we explore 1.1 listen to instructions and questions.","What did I learn about use appropriate non-verbal communication cues to indicate understanding of questions and instructions today?","Audio recordings, manila charts, sentence strips","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","1.0 Listening","1.1 Listen to Instructions and Questions","Demonstrate an understanding of a set of instructions through appropriate responses","Demonstrate an understanding of a set of instructions through appropriate responses","How do we show we understand instructions?","Learners demonstrate conventions of giving instructions and asking questions. Learners are provided with opportunity to brainstorm on instructions, questions, and possible responses in pairs, small groups and whole class.","Demonstrating Understanding of Instructions","03","Term 1","","Demonstrating Understanding of Instructions","Learners demonstrate an understanding of a set of instructions through appropriate responses. Learners brainstorm on instructions, questions, and possible responses.","question/answer","Learner demonstrates understanding of demonstrate an understanding of a set of instructions through appropriate responses","English Language Activities Grade 2","In this quest, we explore 1.1 listen to instructions and questions.","What did I learn about demonstrate an understanding of a set of instructions through appropriate responses today?","Audio recordings, manila charts, sentence strips","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","1.0 Listening","1.1 Listen to Instructions and Questions","Demonstrate conventions of giving instructions and asking questions","Demonstrate conventions of giving instructions and asking questions","What are the rules for giving instructions?","Learners demonstrate conventions of giving instructions and asking questions through role play and modeling. Learners practice social conventions in giving and receiving instructions.","Conventions of Instructions and Questions","04","Term 1","","Conventions of Instructions and Questions","Learners demonstrate conventions of giving instructions and asking questions through role play. Learners practice social conventions in giving and receiving instructions.","question/answer","Learner demonstrates understanding of demonstrate conventions of giving instructions and asking questions","English Language Activities Grade 2","In this quest, we explore 1.1 listen to instructions and questions.","What did I learn about demonstrate conventions of giving instructions and asking questions today?","Audio recordings, manila charts, sentence strips","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","1.0 Listening","1.2 Word and Sentence Formation","Identify the number of syllables in a word","Identify the number of syllables in a word","How do we form words?","Learners practice hearing individual sounds as they sing rhymes and recite poems. Learners combine syllables to form words through blending activities.","Syllables in Words","05","Term 1","","Syllables in Words","Learners practice hearing individual sounds as they sing rhymes and recite poems. Learners combine syllables to form words through blending activities.","segmenting drills","Learner demonstrates understanding of identify the number of syllables in a word","English Language Activities Grade 2","In this quest, we explore 1.2 word and sentence formation.","What did I learn about identify the number of syllables in a word today?","Audio recordings, manila charts, sentence strips","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","1.0 Listening","1.2 Word and Sentence Formation","Recognize words with similar sounds and combine words to make simple sentences","Recognize words with similar sounds and combine words to make simple sentences","Which words sound the same at the end?","Learners play rhyming and blending games with peers e.g. come up with words that rhyme. Learners combine words to make simple sentences.","Words that Rhyme","06","Term 1","","Words that Rhyme","Learners play rhyming and blending games with peers e.g. come up with words that rhyme. Learners combine words to make simple sentences.","segmenting drills","Learner demonstrates understanding of recognize words with similar sounds and combine words to make simple sentences","English Language Activities Grade 2","In this quest, we explore 1.2 word and sentence formation.","What did I learn about recognize words with similar sounds and combine words to make simple sentences today?","Audio recordings, manila charts, sentence strips","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","1.0 Listening","1.3 Storytelling","Develop vocabulary through listening to stories and show empathy with people, places, and things","Develop vocabulary through listening to stories and show empathy with people, places, and things","Why do we tell stories?","Learners listen to a variety of stories about self, family, and home from peers, resource persons, and teachers. Learners respond to questions on the stories told (who, what, where).","Listening to Stories","07","Term 1","","Listening to Stories","Learners listen to a variety of stories about self, family, and home from peers, resource persons, and teachers. Learners respond to questions on the stories told.","Question/Answer, narration","Learner demonstrates understanding of develop vocabulary through listening to stories and show empathy with people, places, and things","English Language Activities Grade 2","In this quest, we explore 1.3 storytelling.","What did I learn about develop vocabulary through listening to stories and show empathy with people, places, and things today?","Resource persons, story books, newspaper, magazines, audiovisuals","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","1.0 Listening","1.3 Storytelling","Recount key details of a story and retell it; appreciate morals taught through different thematic stories","Recount key details of a story and retell it; appreciate morals taught through different thematic stories","Why are stories important to us?","Learners role play, dramatize or retell stories (traditional and modern) listened to. Learners discuss the morals learned from stories listened to.","Retelling Stories","08","Term 1","","Retelling Stories","Learners role play, dramatize or retell stories (traditional and modern) listened to. Learners discuss the morals learned from stories listened to.","Question/Answer, narration","Learner demonstrates understanding of recount key details of a story and retell it; appreciate morals taught through different thematic stories","English Language Activities Grade 2","In this quest, we explore 1.3 storytelling.","What did I learn about recount key details of a story and retell it; appreciate morals taught through different thematic stories today?","Resource persons, story books, newspaper, magazines, audiovisuals","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","1.0 Listening","1.4 Effective Communication","Listen with increased attention to rhymes, songs, conversations and stories","Listen with increased attention to rhymes, songs, conversations and stories","Why do we communicate?","Learners play action games such as Simon says, in small groups. Learners listen to audio or audiovisual stories on varied themes.","Listening with Attention","09","Term 1","","Listening with Attention","Learners play action games such as Simon says, in small groups. Learners listen to audio or audiovisual stories on varied themes.","oral presentation in class","Learner demonstrates understanding of listen with increased attention to rhymes, songs, conversations and stories","English Language Activities Grade 2","In this quest, we explore 1.4 effective communication.","What did I learn about listen with increased attention to rhymes, songs, conversations and stories today?","Visual and audio materials, story books, props, picture cards and charts","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","1.0 Listening","1.4 Effective Communication","Listen to experiences of others and respond appropriately to the feelings and ideas expressed","Listen to experiences of others and respond appropriately to the feelings and ideas expressed","How do we communicate?","Learners listen and pick out vocabulary from material listened to. Learners listen to daily announcements in school and orally recount what they heard.","Responding to Feelings and Ideas","10","Term 1","","Responding to Feelings and Ideas","Learners listen and pick out vocabulary from material listened to. Learners listen to daily announcements in school and orally recount what they heard.","oral presentation in class","Learner demonstrates understanding of listen to experiences of others and respond appropriately to the feelings and ideas expressed","English Language Activities Grade 2","In this quest, we explore 1.4 effective communication.","What did I learn about listen to experiences of others and respond appropriately to the feelings and ideas expressed today?","Visual and audio materials, story books, props, picture cards and charts","Communication and Collaboration, Critical Thinking and Problem Solving"
